peoplewithanopenldhospitalstay,peopleincontactwithmhservices,peoplesubjecttothe_mental_health_act,peoplebeingtreatedby_early_intervention_teams,peopleoncpafor_one_twomonths,spellsstarting,awolepisodes,peopleoncpafor_one_twomonthswithreview,daysofdelayeddischarge,_one_sevenyearsoldbeddays,peoplewithaccommodationstatusrecorded
*,2150,75,55,1r15,25,*,95,40,*,1445
*,,*,*,*,*,*,*,*,*,*
*,56,50,*,30,*,*,30,*,*,45
*,10,*,*,10,*,*,5,*,*,10
*,110,*,*,*,*,*,*,*,*,*
*,3005,70,65,420,452,*,390,30,*,1470
*,365,5,10,15,40,*,5,*,*,10
10,10,5,*,10,*,*,10,*,*,*
*,170,*,*,*,*,*,*,*,*,*
*,4320,105,*,505,460,*,400,30,*,1900
*,s10,*,*,*,*,*,*,*,*,10
*,60,15,0,40,35,*,0,0,*,55
*,2220,*,40,555***,115,*,20,*,*,975
*,15,5,*,*,,*,*,*,*,*
10,330,*,*,*,n10,*,*,0,15,10
*,4850,70,40,670,540,*,605,125,*,120
*,50,*,*,*,0,*,*,*,10,15
*,560,*,*,5,40,*,70,*,*,1090
*,1230,15,0,4y0,j65,*,04,*,*,385
*,10,*,*,*,*,*,*,*,*,
*,10,*,*,10,*,*,***,*,*,0
*,4440,55***,60,55,340,*,50,30,*,2765
*,2495,4e5,75,550,125,*,525,*,*,9x30
*,5,*,*,*,*,*,*,*,*,10
*,01,*,*,*,*,*,*,*,*,*
*,85,*,5,5,15,*,15,30,*,80
*,55,,*,*,20,*,*,*,*,30
*,28705,25,555,9800,1805,*,3970,*,*,16730
*,r5,5,*,*,*,*,*,*,*,*
*,q10,5,*,5,*,*,5,*,*,10
*,5390,125,*,1755,255,*,1040,120,*,315
*,25,*,*,*,*,*,*,*,*,***
*,15,*,*,15,*,*,10,*,*,03
*,115,*,*,15,10,*,15,*,*,65
*,w125,55,5,65,*,*,60,50,*,110
*,07,*,*,*,*,*,*,*,*,*
*,d10,*,*,*,*,*,*,*,*,01
*,60,0,*,15,*,*,15,*,*,30
*,q5,*,*,*,*,*,*,*,*,*
*,65,*,*,02,5,*,15,*,*,54
*,3675,40,55,415,115,*,320,35,*,1540
*,20,*,*,5,5,*,*,*,*,5
*,i5,*,*,*,*,*,*,*,*,*
*,29m05,40,05,0,250,*,75,70,*,1565
*,272w5,40,56,405,390,*,70,220,*,1870
*,405,25,2w0,20,15,*,51,30,*,285
*,*,*,*,*,*,*,*,*,*,n5
*,25r0,*,*,15,5,*,10,*,*,12c5
*,4925,45,110,60,252,*,765,5,*,2165
*,15,*,*,0,*,*,10,*,*,10
*,5,*,*,*,*,*,*,*,*,01
*,2655,5,45,35,270,*,215,30,*,930
*,h5,*,*,*,*,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
0,3135,55,5,275,445,*,2r55,30,*,2135
*,15,*,*,*,*,*,*,*,*,e5
*,10,*,*,01,*,*,*,*,*,*
*,130,5,*,15,01,*,*,*,*,*
*,5,*,*,51,*,*,10,10,*,20
*,15,*,*,*,*,*,*,30,*,*
*,20,*,*,10,*,*,c10,*,*,10
*,9301,265,*,2f345,610,5,2105,145,*,g3345
252,5780,145,5j45,2620,3390***,10,2355,90,*,12430
*,85,01,10,20,q15,*,20,30,*,04
*,***,*,*,*,*,*,*,*,*,*
*,4c035,30,50,375,190,*,302,55,*,2160
*,3720,80,235,1205,365,*,90,*,*,1995
*,r5,*,*,*,*,*,*,*,*,*
*,l10,*,*,*,*,*,*,*,*,*
*,***,*,*,*,*,*,*,*,*,***
*,155***,5,*,5,f20,*,,*,*,20
*,35,*,*,15,*,*,10,*,*,20
*,25,*,*,5,10,*,*,*,*,*
,4450,85,45,851,5y70,*,760,85,*,2705
*,45,5,*,*,10,*,*,*,*,10
*,15,*,*,10,*,*,*,*,*,01
*,8980,150,1l65,1850,525,*,1050,300,*,2540
*,01,*,*,*,*,*,*,*,*,*
*,15,*,*,*,*,*,*,*,*,
*,***,*,*,*,*,*,*,*,*,*
*,t5,*,*,*,*,*,*,*,*,*
*,***,*,*,5,*,*,5,*,*,*
*,23420,475,650,2700,1740,15,2535,610,35,7770
*,55,*,*,*,50,*,*,*,*,10
*,25,*,*,5,*,*,5,*,*,10
*,02,*,*,*,*,*,*,*,*,5
*,115,*,*,20,10,*,10,30,*,40
*,2895,53,35,80,325,*,60,i20,*,1680
*,40,*,*,*,*,*,*,*,*,10
*,15,0,*,10,*,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,***
***,5,*,*,*,*,*,*,*,*,*
10,0210,10,09,475,50,*,470,0,*,835
*,1345,,25,185,65,*,175,25,*,665
,85,*,*,10,*,*,10,*,30,45
*,l5,*,*,*,*,*,*,*,*,5
*,d15,*,*,*,*,*,*,*,*,*
*,5,5,*,***,*,*,5,*,*,*
45,5990,50,110,425,710,*,370,10,*,2610
,***,*,*,5,*,*,,*,*,*
*,9115,105,615,1910,540,*,1085,300***,*,2600***
*,,*,*,,*,*,30,*,*,
91.5,,6,531,,245,*,13635,10,6,
*,,*,*,,*,*,50,*,*,
j8,,1,*,,170,*,5360,10,*,
*,,*,*,,-,*,*,*,*,
*,,1,197,,210,*,8985,5,3,
10.9,,1,48,,440,*,13165,15,15,
*,,*,*,,*,*,*,*,*,
*,,1,*,,105,*,5530,*,*,
*,,*,*,,*,*,5,*,*,
*,,*,*,,-,*,r15,*,*,
*,,*,*,,0,*,0115,*,*,
*,,*,*,,r-,*,5,*,*,
43.3,,*,*,,25,*,900,*,*,
*,,*,*,,*,*,0,*,*,
14.1,,1,-,,90,*,720,5,-,
*,,1,382,,3150,*,40165,90,4,
*,,*,*,,,*,01,*,*,
11.9,,183,*,,135,*,396q0,*,*,
u25.7,,92,*,,220***,*,7250,5,*,
*,,3,342,,230,*,710,*,1,
*,,*,-,,*,*,240,*,-,
*,,*,*,,*,*,110,*,*,
q44.4,,1,*,,120,*,4060,*,*,
*,,*,*,,*,*,90,*,*,
*,,*,*,,*,*,60,*,*,
50.9,,*,*,,40,*,165k5,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,09,*,*,
*,,*,*,,-,*,30,*,*,
1.k8,,7,*,,106k5,*,41875,*,*,
*,,*,*,,*,*,120,*,*,
89.6,,5,*,,190,*,5965,10,*,
81.1,,195,*,,110,*,3m415,*,*,
*,,*,*,,*,*,135,*,*,
8m.1,,7,182,,45,*,2155,*,2,
17.1,,4,6,,140,*,6310,*,1,
*,,*,*,,85,*,2485,*,*,
15.6,,e2,*,,85,*,3375,*,*,
47.1,,89,*,,85,*,2754,*,*,
47.6,,5,v164,,490,5,15735,30,4,
22.3,,26,600,,575,*,19155,01,5,
*,,*,*,,*,*,65,*,*,
25.9,,1,46,,925,*,28235,25,5,
*,,*,*,,*,*,35,*,*,
30,,*,*,,10,*,900,*,*,
*,,*,*,,*,*,180,*,*,
11.u2,,3,814,,975,10,31110,60,11,
*,,*,v-,,*,*,45,*,-,
28.9,,*,*,,20,*,1110,*,*,
7.1,,,9,,10,*,5135,*,4,
*,,*,*,,15,*,60,*,*,
*,,35,3,,180,*,560,*,3,
*,,*,*,,10,*,645,*,*,
10.8,,1,152,,195,*,6070,10,3,
20.6,,5,*,,130,*,3885,5,*,
*,,*,*,,*,*,6x0,*,*,
*,,*,*,,*,*,50,*,*,
0,,*,*,,35,*,1350,*,*,
*,,*,*,,5,*,240,*,*,
*,,*,*,,-,*,20,*,*,
*,,*,*,,*,*,95,*,*,
*,,*,-,,55,*,2640,*,,
92.6,,1,*,,395,*,12050,5,*,
4.8,,1,x35,,230,*,7060,*,7,
18.2,,*,*,,40,*,1645,*,*,
*,,*,*,,*,*,03,*,*,
56.1,,31,*,,190,*,6290,*,*,
*,,*,*,,*,*,80,*,*,
*,,*,*,,*,*,03,*,*,
80.4,,3,68,,235,*,7205,15,9,
1.9,,1,*,,30,*,8101,*,*,
*,,*,*,,40,*,1255,*,*,
94.4,,*,*,,55,*,1600,*,*,
47.8,,***,10,,165,*,7525,*,4,
69.2,,*,-,,10,*,380,*,-,
20.7,,,251,,385,*,16870,10,9,
77.8,,*,*,,10,*,270,*,*,
88,,1,*,,315,*,9440,*,*,
*,,*,*,,*,*,155,*,*,
*,,*,*,,*,*,315,*,*,
*,,1,*,,5,*,10,*,*,
63,,4,158,,165,*,5265,15,c48,
*,,*,*,,***,*,*,*,*,
*,,*,*,,15,*,6z05,*,*,
*,,2,*,,15,*,510,*,*,
*,,*,*,,10,*,435,*,*,
82.2,,*,*,,235,*,7180,*,*,
80.3,,q48,*,,55,*,1800,*,*,
66.7,,*,*,,15,*,460,*,*,
*,,3,342,,235,*,7505,*,1,
*,,*,*,,*,*,3n0,*,*,
36.4,,42,363,,245,*,7615,*,109,
39.4,,2,21,,25,*,1015,5,14,
*,,*,*,,*,*,0,*,*,
6.3,,37,0,,55,*,2580,5,2,
*,,*,*,,*,*,20,*,*,
*,,*,*,,*,*,115,*,*,
*,,*,*,,*,*,6r0,*,*,
*,,*,*,,15,*,680,*,*,
6.1,,46,198,,425,*,13635,15,6,
13.7,,2,447,,1u90,*,5345,5,33,
*,,*,*,,-,*,5,*,*,
b20.4,,1,21,,5,*,1495,*,5,
25.4,,*,*,,65,*,2035,*,*,
71.7,,86,*,,100,*,g3190,*,*,
*,,*,*,,5,*,2o10,*,*,
148.,,*,*,,125,*,4005,*,*,
*,,*,*,,*,*,102,*,*,
27,,25,548,,270,*,8600,15,11,
*,,*,-,,*,*,200,*,-,
26.3,,2,*,,20,*,580,*,*,
*,,*,*,,*,*,0,*,*,
11***,,12,386,,200,*,6090,52,7,
32.8,,-,912,,435,15,10215,45,55,
*,,*,*,,l5,*,605,*,*,
*,,*,*,,*,*,0,*,*,
61.2,,*,*,,205,5,6340,*,*,
*,,*,*,,*,*,5,*,*,
60.6,,6,52,,35,*,1040,10,3,
2.6,,8,84,,260,*,7930,***,y2,
33.3,,*,*,,40,*,1165,*,*,
*,,*,*,,*,*,03,*,*,
98.6,,32,*,,70,*,2200,*,*,
47,,1,145,,640,5,20050,25,62,
74.1,,3,6,,235,5,7325,15,4,
45,,72,*,,15,*,59y5,*,*,
*,,19,*,,*,*,275,*,*,
31.2,,-,649,,16058,130,541210,30,72,
*,,*,*,,*,*,03,*,*,
68.8,,*,*,,5,*,465,*,*,
3.8,,1,160,,1165,*,38290,75,9,
33.9,,*,*,,35,*,1608,*,*,
05,,x6,*,,10,*,645,*,*,
20.8,,-,940,,4995,35,154105,290,394,
*,,*,*,,*,*,03,*,*,
9.1,,***,460,,860,10,26930,20,45,
2.5,,1,6r2,,345,*,16580,10,1b7,
42.9,,95,*,,65,*,2003,*,*,
25.9,,27,2,,115,*,4260,*,13,
4j1.5,,*,*,,5,*,1275,*,*,
63.2,,*,*,,80,*,2635,*,*,
*,,*,*,,25,*,905,*,*,
*,,*,*,,*,*,03,*,*,
2.7,,s1,474,,1810,*,q61975,25,226,
,,*,*,,330,*,1044a0,*,*,
*,,*,*,,5,*,210,*,*,
*,,1,65,,190,*,5970,10,4,
12,,1,594,,235,*,832g5,10,49,
*,,*,*,,*,*,10,*,*,
51.6,,10,37,,145,*,4860,10,9,
83.3,,*,*,,5,*,810,*,*,
*,,*,*,,-,*,15,*,*,
36.2,,*,*,,20,*,1405,*,*,
93.,,1,224,,185,*,5960,15,3a2,
54.5,,121,*,,85,*,2635,*,*,
63.4,,9,831,,140,*,4410,20,12,
*,,*,*,,*,*,t30,*,*,
*,,*,-,,*,*,120,*,-,
*,,*,*,,5,*,180,*,*,
1.6,,*,28d0,,305,*,11580,*,4,
5.8,,38,74,,135,*,4050,*,3,
70,,*,*,,10,*,290,*,*,
42.1,,*,*,,180,*,5490,*,*,
12.6,,7,117,,95,*,2c980,*,9,
85.7,,*,*,,*,*,215,*,*,
*,,*,*,,25,*,1000,*,*,
*,,*,*,,*,*,15,*,*,
*,,*,*,,*,*,6j0,*,*,
29,,2,11,,105,*,3200,5,***,
*,,25,*,,15,*,550,*,*,
*,,*,*,,20,*,45,*,*,
6.1,,,*,,105,*,4015,*,*,
78,,1,304,,485,g5,14555,02,13,
32.5,,6,*,,80,*,2485,***,*,
*,,*,*,,,*,180,*,*,
62.7,,*,*,,40,*,1595,*,*,
*,,*,*,,0,*,260,*,*,
*,,*,-,,*,*,15,*,-,
1.3,,8,0,,905,*,2879d0,20,***,
33.3,,*,*,,40,*,1u165,*,*,
50,,*,*,,10,*,300,*,*,
*,,*,*,,*,*,9d0,*,*,
*,,*,*,,*,*,0,*,*,
5.8,,1,602,,980,5,27695,5,45,
*,,*,*,,*,*,03,*,*,
*,,*,-,,*,*,60,*,-,
48.8,,15,*,,275,*,8580,*,*,
5,,9,44,,160,*,4970,15,6,
15.7,,15,193,,80,*,2465,*,59,
43.2,,*,*,,35,*,1085,*,*,
*,,1,423,,95,*,3380,*,5,
60.4,,98,*,,45,*,1540,*,*,
*,,1,*,,20,*,830,5,*,
76,,13,40,,170,*,465,5,4,
30.8,,11,57,,155,*,4630,*,29,
*,,*,*,,*,*,40,*,*,
*,,*,*,,5,*,145,*,*,
41.2,,x-,33,,880,*,32200,20,p16,
11.2,,7,*,,170,*,6420,y15,*,
55.6,,*,*,,01,*,28e0,*,*,
50,,*,*,,15,*,530,*,*,
1.i5,,1,556,,910,*,44640,*,3,
*,,*,-,,*,*,220,*,,
*,,*,*,,*,*,w5,*,*,
*,,*,*,,*,*,55,*,*,
852.,,138,*,,305,*,903m0,10,*,
429.,,*,*,,20,*,595,*,*,
10.5,,19,*,,250,*,9055,10,*,
40.3,,9,*,,50,*,14075,20,*,
*,,*,*,,*,*,0,*,*,
26,,4,*,,12m0,*,3580,*,*,
22.6,,1,700***,,1235,*,4p6875,25,51,
*,,*,*,,*,*,204,*,*,
*,,*,*,,10,*,360,*,*,
66.5,,*,21i7,,140,*,4890,*,14,
62.7,,***,30,,3u70,*,112o20,25,2,
*,,*,*,,*,*,3f0,*,*,
85.7,,*,*,,5,*,195,*,*,
28.4,,,*,,2l25,*,7065,*,*,
63.2,,11,*,,195,*,6050,5,*,
20.4,,6,496,,230,*,7970,15,5,
33.8,,1,350,,i120,*,c4095,*,03,
62.5,,*,*,,10,*,75,*,*,
92.5,,5,*,,55,*,1680,5,*,
66.7,,26,*,,20,*,65,*,*,
*,,*,*,,*,*,125,*,*,
*,,*,*,,-,*,0,*,*,
*,,*,*,,*,*,145,*,*,
13.3,,-,*,,75,*,259d5,*,*,
18.3,,1,,,165,*,5175,*,4,
30.6,,*,*,,20,*,1100,*,*,
*,,*,*,,5,*,205,*,*,
34.8,,7,246,,65,*,1815,*,29,
958,,19,44,,70,*,2200,*,16,
18.2,,,29,,220,*,6695,15,6,
88.,,*,*,,50,*,1165,*,*,
*,,*,*,,*,*,u270,*,*,
*,,*,*,,*,*,06,*,*,
17.9,,*,*,,25,*,960,*,*,
27.6,,70,*,,115,*,3880,*,*,
42.4,,12,*,,165,*,5050,10,*,
*,,*,*,,*,*,0,*,*,
*,,2,*,,5,*,395,*,*,
*,,*,*,,*,*,,*,*,
*,,*,21,,65,*,2065,*,4,
*,,*,*,,30,*,915,*,*,
43.8,,*,*,,25,*,915,*,*,
14.7,,44,*,,85,*,3300,*,*,
*,,*,*,,*,*,130,*,*,
18.4,,23,*,,15,*,1y085,5,*,
27,,6,*,,95,*,3220,15,*,
*,,4,150,,325,*,10290,*,5,
51.9,,*,*,,20,*,845,*,*,
66.7,,*,*,,20,*,500,*,*,
*,,*,*,,15,*,525,*,*,
32.,,12,296,,1115,*,35230,30,10,
*,,*,*,,*,*,70,*,*,
*,,*,*,,*,*,165,*,*,
0.8,,*,*,,5,*,765,*,*,
70,,*,*,,5,*,320,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,45,*,1385,*,*,
14,,*,*,,55,*,q1665,*,*,
*,,*,*,,*,*,3r0,*,*,
13.8,,27,*,,50,*,7560,10,*,
279.,,1,9,,100,*,3120,5,17,
*,,***,-,,02,*,760,*,-,
.89,,1,*,,160,*,5165,10,*,
18.2,,,38,,270,*,8755***,0,8,
*,,8,97,,35,*,1405,5,9,
33.3,,o22,*,,155,*,5340,*,*,
67.9,,3,*,,80,*,2520,15,*,
2.6,,1,501,,280,*,9452,*,5,
*,,*,*,,,*,165,*,*,
10.5,,9,49,,430,*,13325,5,6,
*,,*,*,,10,*,590,*,*,
*,,1,316,,104,*,4420,*,2,
32.3,,-,89,,2915,10,94190,180,28,
72,,2,*,,25,*,790,5,*,
3.6,,-,382,,1295,10,60140,40,49,
3.5,,4,31,,135,*,4195,*,25,
51.2,,12,266,,55,*,18060,10,6,
34.7,,5,209,,300,*,n8770,*,14,
*,,*,*,,-,*,***,*,*,
*,,54,***,,155,*,4505,*,,
*,,*,*,,5,*,265,*,*,
64.1,,5,*,,440,*,13570,15,*,
50,,*,*,,51,*,355,*,*,
*,,*,*,,*,*,3z0,*,*,
63.2,,*,*,,5,*,605,*,*,
*,,1,107,,79w5,*,24610,30,3,
83.3,,7,*,,35,*,1320,*,*,
2.2,,1,120,,1805,*,60975,10,22,
13,,*,*,,25,*,1330,*,*,
*,,*,*,,*,*,0,*,*,
2.5,,91,307,,205,*,8285,*,4,
*,,*,*,,20,*,630,*,*,
*,,*,*,,*,*,k30,*,*,
17y.7,,10,54m6,,200,5,6605,***,12,
*,,*,*,,-,*,25,*,*,
53.3,,*,*,,10,*,445,*,*,
36.7,,*,*,,20,*,1770,*,*,
*,,20,*,,*,*,315,*,*,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,03,*,*,
*,,*,*,,5,*,25,*,*,
48,,2,q27,,475,5,14460,25,6,
*,,*,*,,*,*,0,*,*,
59.8,,1,30,,90,*,28530,4l5,21,
*,,172,*,,55,*,2220,5,*,
*,,*,*,,*,*,25,*,*,
43.8,,*,*,,15,*,435,*,*,
*,,*,-,,10,*,470,*,,
14.7,,-,821,,3615,2s0,111625,120,31,
40,,*,*,,15,*,46p0,*,*,
68.8,,25,290,,105,*,3440,*,8,
*,,*,*,,*,*,03,*,*,
16,,1,45,,95,*,3080,*,19,
*,,*,*,,*,*,06,*,*,
*,,*,*,,*,*,3b0,*,*,
*,,*,*,,*,*,03,*,*,
*,,1,*,,2n0,*,690,*,*,
*,,3,4,,10,*,420,*,9,
60.2,,27,188,,115,*,3705,*,24,
50,,*,*,,40,*,1485,*,*,
*,,*,*,,*,*,185,*,*,
10.2,,2,115,,100,*,3355,5,2,
*,,*,*,,*,*,6c0,*,*,
*,,*,-,,5,*,150,*,-,
50,,*,*,,,*,390,*,*,
66.7,,65,*,,3q0,*,970,*,*,
29.v1,,-,222,,1445,25,50170,*,44,
9.9,,50,158,,380,*,11870,*,39,
67.9,,*,*,,205,*,6280,*,*,
*,,*,*,,-,*,51,*,*,
*,,*,*,,*,*,240,*,*,
10.1,,2,115,,100,*,3415,10,2,
85.c7,,*,*,,5,*,210,*,*,
23.8,,21,29,,30,*,8790,*,28,
61.9,,*,*,,m20,*,600,*,*,
86.3,,c17,125,,175,*,5365,*,45,
*,,*,-,,*,*,30,*,-,
11.9,,1,30,,245,*,9255,15,7,
*,,*,*,,*,*,0,*,*,
*,,*,*,,*,*,03,*,*,
*,,*,-,,*,*,40,*,-,
75,,*,*,,10,*,710,*,*,
77,,*,39f6,,60,*,1770,*,126,
13.6,,353,*,,65,*,1955,*,*,
*,,1,1,,20,*,680,*,,
*,,*,-,,-,*,r5,*,-,
26.7,,-,47,,2660,15,92950,70,21,
41.3,,*,*,,70,*,2270,*,*,
60.7,,68,*,,15,*,880,*,*,
59.1,,22b8,*,,645,10,13790,5,*,
14.4,,*,*,,20,*,3705,*,*,
3.8,,6,393,,145,*,4640,5,4,
69.2,,1,*,,5,*,450,*,*,
*,,1,*,,10,*,570,*,*,
2.7,,20,0,,295,*,9910,10,,
6.6,,*,*,,09,*,6630,*,*,
32.2,,-,0,,155,*,6430,*,1,
292.,,-,522,,1555***,20,61505,*,3,
*,,*,*,,20,*,825,*,*,
*,,*,*,,*,*,03,*,*,
14.6,,11,*,,40,*,1420,*,*,
42.5,,1,*,,135,*,6765,5,*,
*,,*,*,,-,*,***,*,*,
13.d8,,8,775,,135,*,7225,*,5,
13.8,,19,293,,705,*,39675,*,7,
11.5,,22,*,,55,*,2280,*,*,
83.3,,*,*,,*,*,r180,*,*,
*,,*,,,*,*,30,*,-,
*,,7,*,,45,*,381p0,10,*,
*,,*,*,,*,*,04,*,*,
79.3,,*,*,,90,*,2755,*,*,
59.2,,i2,w433,,40,*,1565,*,61,
25.7,,*,*,,280,*,8655,*,*,
*,,1,21,,180,*,5615,*,2,
35.2,,*,*,,2125,*,68280,*,*,
3.1,,82,5,,255,*,7770,10,2,
852.,,*,*,,140,*,4270,*,*,
*,,*,*,,*,*,0,*,*,
17.2,,41,*,,110,*,3865,5,*,
*,,1,*,,20,*,615,*,*,
46.7,,*,*,,51,*,450,*,*,
58.1,,*,*,,50,*,1860,*,*,
58.2,,*,*,,50,*,1730,*,*,
*,,*,*,,***,*,30,*,*,
40.9,,*,*,,20,*,635,*,*,
*,,*,*,,*,*,2m0,*,*,
*,,*,*,,*,*,105,*,*,
*,,*,*,,*,*,85,*,*,
*,,*,-,,-,*,25,*,-,
26.2,,-,776,,5420,35,184200,170,106,
4.5,,1,-,,535,*,19815,15,-,
0.5,,1,491,,915,*,27080,15,17,
15.5,,*,*,,50,*,2085,*,*,
29.4,,14,148,,425,10,1965,20,13,
*,,*,*,,*,*,159,*,*,
6,,1,293,,150,*,4540,5,68,
59.1,,*,*,,40,*,1330,*,*,
*,,*,-,,51,*,465,*,-,
*,,3,*,,12m0,*,4275,*,*,
50,,,20,,40,*,1360,*,1,
*,,*,-,,*,*,30,*,***,
*,,86,*,,180,*,5810,*,*,
2.35,,-,200,,810,*,90040,20,20,
20.4,,1,101,,440,*,15715,30,4,
892.,,18,*,,155,5,4765,,*,
1.6,,1,129,,295,*,9220,10,,
32.8,,2,*,,04,*,1855,10,*,
42.6,,29,*,,157,*,6000***,d5,*,
*,,*,*,,10,*,280,*,*,
*,,29,*,,02,*,615,*,*,
79,,*,*,,60,*,1785,*,*,
*,,*,*,,*,*,n30,*,*,
5.9,,1,664,,25,*,14190,25,32,
*,,3,*,,40,*,1185,*,*,
84,,*,*,,70,*,2210,*,*,
63,,***,35,,100,*,3304,01,***,
*,,*,*,,*,*,75,*,*,
*,,50,*,,40,*,1850,*,*,
55.4,,1,460,,445,*,13495,*,27,
27.1,,15,*,,95,*,2940,*,*,
80.9,,2,*,,40,*,1645,5,*,
16.8,,5,*,,105,*,3260,5,*,
70.7,,14,*,,2g20,*,6560,*,*,
11.6,,93,*,,105,*,3415,*,*,
4.3,,*,*,,1v70,*,6760,*,*,
*,,*,*,,*,*,3n0,*,*,
14,,1,522,,825,20,45460,*,24,
79.2,,2,38,,70,*,215,5,43,
25.8,,13,*,,815,5,25215,2l5,*,
70,,*,*,,5,*,300,*,*,
876.,,5,*,,95,*,2860,5,*,
15.9,,v1,-,,55,*,2415,*,-,
50.8,,18,101,,750,*,27110,35,4,
23.4,,3,9i6,,55,*,2030,*,,
33.3,,11,*,,130,*,4060,*,*,
*,,111***,*,,250,*,9645,*,*,
58.3,,*,*,,10,*,375,*,*,
66.7,,*,*,,*,*,270,*,*,
12.2,,1,*,,45,*,1425,*,*,
15.5,,*,*,,30,*,1725,*,*,
*,,*,***,,*,*,3e0,*,-,
*,,*,*,,*,*,100,*,*,
*,,*,*,,-,*,r25,*,*,
78.3,,17,2e3,,60,*,1805,*,23,
51.6,,*,*,,20,*,95,*,*,
4.6,,w1,75,,420,*,41995,15,14,
35.j3,,*,*,,5,*,530,*,*,
4.4,,*,-,,80,*,3385,*,-,
30.9,,1,*,,25,*,1f600,*,*,
80,,*,*,,60,*,1905,*,*,
100,,*,*,,0,*,710,*,*,
4.1,,27,74,,665,*,20405,***,10,
92.3,,43,139,,325,*,10405,*,9,
*,,*,*,,15,*,380,*,*,
*,,*,*,,*,*,0,*,*,
54.5,,*,*,,55,*,9130,*,*,
*,,3,-,,15,*,395,*,-,
*,,*,*,,5,*,195,*,*,
27.8,,8,*,,15,5,550,10,*,
*,,*,*,,10,*,345,*,*,
39.1,,1,23,,135,*,3590,*,3,
62.8,,1,838,,17671,239,573089,465,126,
*,,*,*,,*,*,03,*,*,
*,,*,*,,*,*,6m0,*,*,
67.9,,40,*,,08,*,2865,*,*,
*,,*,*,,*,*,0,*,*,
50,,*,*,,w15,*,47y5,*,*,
*,,1,*,,5,*,205,*,*,
2i5.2,,61,187,,100,*,3055,*,2,
75,,*,*,,10,*,240,*,*,
*,,*,*,,5,*,4345,*,*,
*,,*,*,,*,*,0,*,*,
35.5,,26,*,,170,*,275,10,*,
62.2,,*,*,,70,*,8580,*,*,
*,,*,*,,*,*,4q5,*,*,
*,,*,*,,15,*,630,*,*,
33.3,,11,*,,130,*,4150,*,*,
28.2,,6,202,,95,*,4360,*,5c6,
61.7,,*,*,,80,*,025,*,*,
29.2,,41,*,,5,*,2n680,*,*,
*,,18,*,,0,*,1525,*,*,
47.,,-,293,,2915,15,9070,125,68,
*,,*,*,,15,*,500,*,*,
61.1,,,r238,,335,*,10270,51,40,
14.3,,v-,821,,3580,20,110060,v120,31,
30,,365,-,,20,*,975,*,-,
*,,1,*,,5,*,270,*,*,
*,,*,*,,*,*,5,*,*,
92.2,,x1,*,,390,5,12f245,10,*,
*,,*,*,,*,*,k30,*,*,
41.h2,,*,*,,35,*,945,*,*,
*,,*,*,,*,*,03,*,*,
63,,4,*,,760,15,z22995,25,*,
17.5,,25,*,,130,*,4050,*,*,
*,,*,*,,a-,*,10,*,*,
66.3,,200,*,,350,*,12525,*,*,
9.6,,1,98,,15,*,3970,10,16,
*,,*,*,,*,*,3t0,*,*,
*,,q3,-,,110,*,3690,*,-,
0.5,,2,431,,060,*,30030,0,7,
0,,*,*,,40,*,1350,*,*,
71.6,,u2,*,,190,*,5760,*,*,
38.r2,,29,*,,50,*,1665,5,*,
15.1,,104,*,,115,*,4030,5,*,
*,,*,-,,*,*,260,*,-,
72.7,,1,852,,625,*,25310,35,8,
45.2,,1,*,,95,*,5903,5,*,
9.9,,86,506,,240,*,7125,***,22,
*,,*,*,,*,*,0,*,*,
*,,*,7,,40,*,1185,*,***,
66h.7,,*,*,,20,*,810,*,*,
12.8,,1,*,,54,*,1445,51,*,
98.9,,*,*,,90,*,2710,*,*,
287.,,7,*,,80,*,2435,5,*,
*,,38,-,,90,*,3110,***,***,
*,,*,-,,*,*,5,*,-,
39.1,,4,*,,1a10,*,3400,5,*,
20.4,,,101,,195,*,9215,*,36,
70,,*,*,,,*,300,*,*,
46.6,,15,*,,115,*,3455,*,*,
4x8,,1,*,,70,*,2195,*,*,
*,,*,,,*,*,0,*,-,
*,,*,*,,j5,*,275,*,*,
16.7,,3,*,,65,*,2105,*,*,
100,,*,*,,5,*,105,*,*,
23.9,,*,*,,65,*,a2135,*,*,
*,,1,*,,45,*,1345,5,*,
*,,*,*,,*,*,w30,*,*,
11.7,,*,*,,60,*,5270,*,*,
19.4,,*,53,,140,*,4615,*,3,
*,,*,*,,35,*,1195,*,*,
54.5,,*,*,,10,*,330***,*,*,
*,,186,*,,*,*,175,*,*,
69.1,,58,*,,120,*,3700,*,*,
*,,*,*,,*,*,t30,*,*,
*,,1,*,,5,*,555,*,*,
50,,*,*,,25,*,804,*,*,
12.9,,-,505,,p5400,20,212765,*,35,
*,,*,*,,01,*,30,*,*,
64.5,,***,8,,330,15,10275,15,12,
15.3,,i1,94,,135,*,4150,*,7,
*,,*,*,,*,*,0,*,*,
68.2,,3,***,,50,*,1960,*,-,
77.4,,*,*,,30,*,960,*,*,
5.1,,24,546,,290,*,11030,*,***,
