gender,qc_five_five,q_zero_five_one_two,q_zero_fourbii_one_four,q_zero_threea_one_two,q_zero_nine_one_zero,q_zero_four_zero_six,q_one_eighti_zero_seven,q_zero_nine_one_three,q_one_fived_zero_two_zero_six,q_one_fiveca_zero_four,q_one_zerof_zero_seven,q_zero_threea_one_zero,qc_five_six,q_one_fived_zero_four_zero_two,q_zero_four_zero_two,q_zero_nine_zero_one,q_zero_fourbi_zero_five,q_two_seven_zero_four,q_zero_foura_two_two
Woman,No,No,No,No,Less often,1 - Not at all inteested,"Have done / used this at some time in the past, but not in the past 3 months",Less often,Yes,No,Yues,o,No,No,1 - Not at all interested,Seevral times a day,oN,Faizrly satisfied,No
Woman,Yes,No,No,No,Never,,Have never done this - and I wasn't aware that this was possible,Several times a day,oN,No,No,es,Yes,No,5,Several times a day,nNo,Fairly satisfied,No
Man,No,No,oN,No,Nevre,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,o,1 - Not at all interested,Several times a day,Yes,Don't know,No
Woman,Yes,o,No,xNo,Never,5,Have never done this but I am aware of this,Less often,No,No,Yes,Yes,oN,No,10 - Extremely interested,Several times a day,No,Neither satisfied nor dissatisfied,No
Mn,Yes,sNo,No,Yes,Less often,***,Have never done this but I am aware of this,At least once a week,No,No,Yes,Yes,Yse,No,7,Several times a day,No,Fairly satisfied,No
oman,No,Yes,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,No,Yes,Yes,No,Neo,1 - Not at all interested,Never,oN,Fairly satisfied,No
Woman,aNo,No,zNo,eYs,wNever,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,o,No,1 - Not at all intersted,Several times a day,No,Neither satisfied nor dissatisfied,Yes
Man,No,oN,No,No,At least once a week,8,Have never done this - and I wasn't aware that this was possible,At least once a month,No,No,Yes,Yes,No,No,,Several times a ady,No,Fairly satisfied,No
an,No,No,No,No,At least once a month,8,Have never done this but I am aware of this,At least once a week,No,No,Yes,Yes,No,No,7,At least once a week,No,Very satisfied,No
Woman,eYs,No,No,No,Less often,10 - Extremely interested,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,es,Yes,Nxo,o,No,6,Once or twice a day,No,Don't know,No
Woman,Yes,No,No,oN,Never,1 - Not at all interested,Have done/used this in the past 3 months,At least once a week,No,No,No,No,No,oN,1 - No tat all interested,Several times a day,No,Don''t oknow,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a month,No,No,eYs,Yes,No,o,1 - Not at all interested,Severalt imes a day,No,Very satisfied,No
Mna,Yes,No,No,No,Less often,***,Have never done this but I am aware of this,At least once a month,tNo,Yes,Yes,No,Yse,No,3,At least nce a week,No,Very satisfied,No
Man,No,Npo,No,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,At least once a month,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Several tims a day,No,Very satisfied,No
Man,No,cNo,No,No,Never,***,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,Yes,No,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,No
Woman,Yse,Yes,No,pNo,At least once a month,8,Have never done this but I am aware of this,Once or twice a day,No,Yes,Yes,Yes,Yes,No,10 - Extremely interested,Once or twice a day,No,Fairly dissatisfied,Yes
Man,No,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,No,No,No,No,1 - Not at allinterested,Several times a day,No,Neither satisfied nor dissatisfied,No
Mna,No,aNo,No,No,At least once a month,6,Have done/used this in the past 3 months,Less often,No,No,Yes,Yes,oN,No,7,Several times a day,No,Neither satisfied nor dissatisfied,o
Man,Yes,No,No,No,Never,2,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,No,No,bNo,1 - Not at all interested,Once or twice a day,No,Don't know,No
Woman,No,No,No,o,Less often,10 - Extremelyu interested,Have never done this - and I wsn''t aware that this was possible,Once or twice a day,No,mYes,Yes,No,No,oN,6,Several times a day,No,Very dissatisfied,No
Man,No,es,No,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,pYes,Yes,Yes,No,5,Once or twice a day,No,Neither sxatisfied nor dissatisfied,No
Woamn,No,No,No,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,Never,Nto,Yes,Yes,No,es,No,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,No,Yes,oN,No,At least once a month,,Have done/used this in the past 3 months,At least once a week,No,Yes,Yes,No,No,No,6,At least once a week,No,Neither satisfied nor dissatisfied,No
Woman,No,oN,No,o,Never,2,Have never done this - and I wasn't aware that this was possible,At least once a week,No,Yeis,eYs,es,No,No,5,Once or twice a day,No,Fairly satisfied,No
Man,No,No,No,No,At least once a week,,Have never done this but I am aware of this,At least once a week,No,No,Yes,Yes,o,No,1 - Not at all interested,Once or twice a day,No,Nither satisfied nor dissatisfied,No
Man,No,No,No,No,Never,3,Have never done this but I am aware of this,Never,No,oN,Ys,eYs,es,oN,5,Several times a day,No,Fairly satistfied,No
Woman,lYes,Yes,No,No,Less often,8,Have never done this but I am aware of this,Less often,oN,Yes,Yes,Yes,No,o,10 - Extremely interested,Once or twice a day,No,Fairyl satisfied,o
Woman,No,No,fNo,Nyo,Less often,4,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,o,No,No,No,8,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,No,No,No,No,Never,5,Have never done thsi but I am aware of this,ever,No,No,mNo,eYs,No,o,6,Several times a day,No,Fairly satisfied,No
Woman,oN,o,No,o,At least once a month,1 - Not at all interested,Have done/used this in the past 3 months,Never,oN,No,Nro,Yges,Yes,No,5,Several times a day,Yes,Very satisfied,o
Woman,No,No,No,No,At least once a month,r3,Have never done this but I am aware of this,Less often,No,Nqo,No,No,No,No,3,Several times a day,No,Don''t kow,No
Woman,Yes,oN,oN,No,Ncever,q3,Have never done this - and I wasn't aware that this was possible,A least once a month,No,No,No,No,No,No,,At least once a week,No,Fairly satisfied,No
Wozman,No,No,No,No,At least once a month,7,"Have done / used this at some time in the past, but not in the past 3 months",Once or twice a day,Yes,Yes,No,No,No,No,6,At least once a week,No,Fairly dissatisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aare of this,Never,No,oN,Yes,Yes,No,No,6,At least once a week,No,Fairly atisfied,No
Woman,No,No,oN,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Nwever,No,No,No,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,No
Man,Yes,Yse,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,At least once a week,No,No,Yes,Nqo,Yes,No,1 - Not at all interested,Sveral times a day,No,Very satisfied,No
Man,Yes,Yes,No,No,Less foten,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,No,Yes,o,No,Nzo,10 - Extremely interested,At least once a month,uNo,Fairly satisfied,oN
Woman,No,No,No,No,At least once a week,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,No,o,No,Yes,No,4,Several tmies a day,No,Fairly satisfied,No
zMan,No,No,No,No,At least once a month,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,No,Yes,No,No,5,At least once a week,oN,Fairly satisfeid,o
Man,No,No,oN,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past u3 months",Never,No,nNo,No,Yse,No,No,8,At least once a week,Noo,Fairly satisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Don't know,jNever,oN,No,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Don't know,No
Man,No,Nzo,No,Nso,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Nevre,No,No,Yse,Yes,No,No,6,Once or twice a day,o,Fairly satisfied,No
Man,kNo,oN,No,o,Less often,o5,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,eYs,Yes,No,5,Several times a dya,No,Neither satisfied nor dissatisfied,oN
Man,No,sNo,No,No,Less often,6,Have done/used this in the past 3 months,Nver,Yes,Yes,Yes,Yes,o,No,2,Sevral times a day,No,Very satisfied,No
Man,No,No,No,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,At least once a week,No,No,No,Yes,Yse,No,7,Several times a day,o,Fairly satisfied,No
Woman,es,No,No,No,Once or twice a day,5,Have doxne/used this in the past 3 months,Once or twice a day,No,No,No,Yes,Yes,oN,***,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Woman,No,Nzo,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,Yejs,o,Yeos,No,No,1 - Not at all interested,Several times a day,No,Don't know,No
an,No,No,No,o,Less often,2,Have never done this but I am aware of this,Never,oN,o,No,No,Yecs,No,l4,Several ytimes a day,No,Fairly satisfied,No
Man,No,No,Nmo,o,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,Yes,No,No,No,No,1 - Not a all interested,Several times a day,No,Very dissatisfied,No
Woman,No,No,oN,No,Less often,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 mzonths",Never,No,Yyes,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Very satisfied,No
Woman,es,No,No,No,Less often,2,Have never done this but I am aware of this,Nver,No,No,es,Yes,Yexs,No,2,Several times a day,No,Fairly satisfied,No
Man,No,Yes,No,No,At least once a month,3,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,No,Njo,Yes,No,o,9,Once or twice a day,No,Fairly satisfied,No
Man,No,No,oN,No,Less often,1 - Not at all interested,"Have done / used this at some time in hte past, but not in the past 3 months",At least once a week,No,oN,No,Yes,No,No,1 - Not at all interested,Sveeral times a day,oN,Fairly satisfied,oN
Woman,Yes,Yes,No,No,At least once a week,6,"Have done used this at some time in the past, but not in the past 3 months",At least once a week,Yes,Yes,No,aYes,Yes,No,f8,Once or twice a day,No,Fairly dissatisfied,No
Woman,No,No,No,No,Neer,1 - Not at all inteersted,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,oN,No,1 - Not at all interested,Once or twice aday,No,Fairly satisfied,No
Woman,No,No,No,No,Atleast once a week,1 - Not at all interested,Have never done this but I am aware of this,At least once a week,No,o,No,No,Yes,Nho,5,Once or twice a day,No,Fairly satisfied,o
Woman,No,No,No,No,Never,2,Have done/used this in the past 3 months,Several times a day,No,Yes,Yes,No,Yse,No,2,Once or twice a day,No,Fairly satisfied,No
Man,No,No,oN,No,Never,3,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,No,3,Several times a day,No,Neither satisfied nor dissatisfied,No
Mman,No,oN,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,es,eYs,Yes,No,1 - Not at all interested,At least once a week,No,Neither stisfied nor dissatisfied,No
Woman,oN,No,No,No,At least once a week,2,Have done/used this in the past 3 months,Once or twce a day,Yes,Ys,No,mNo,No,No,10 - Extremely interested,At least once a ewek,Nbo,Very satisfied,No
Mna,No,Yes,No,No,Never,1 - Not at all interestled,Have neverd one this but I am aware of this,Nver,No,Yes,No,Yes,Nfo,No,5,Several times a day,No,Fairly satisfied,No
Woman,Yeds,No,No,No,Less often,1 - Not at all interested,Have nlever done this - and I wasn''t aware that this was possible,At least once a week,No,Yes,Yes,No,Yes,No,6,Several times a day,Nso,Don't know,No
Woman,Yes,o,No,No,Less often,10 - Extremely interested,Have never done this but I am aware of this,Less often,No,No,No,Yes,No,No,4,At least once a week,No,Very satisfied,No
Man,No,oN,No,No,At least once a month,3,Have never done this but I am aware of this,At least once a month,No,Yes,Yes,Yes,No,No,w4,Once or twice a day,oN,Fairly satisfied,oN
Woman,Yes,No,No,No,Never,3,Have never done this - and I wasn't aware that this was possible,Never,No,Yes,No,Ys,Yes,o,8,Once or twice a day,No,Fairly satisfied,No
Man,No,Yes,No,No,At least once a week,10 - Extremely interested,Have done/usd this in the past 3 months,Once or twice a day,No,No,No,Yes,Yes,No,10 - Extremely interested,Several times a day,No,Fairly satisfied,Yes
Woman,No,Yes,No,No,At least once a month,8,Have never done this but I am aware of this,At east once a week,Yes,Yes,Yes,Yes,No,No,7,Several times a day,oN,Very satisfied,No
Man,Yes,No,No,No,Never,2,Have never done this but I amf aware of this,Neveqr,No,Yes,Yes,Yes,Yes,No,10 - Extremely interested,At least once a week,No,Neither satisfied nor dissatisfied,No
Woman,No,oN,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Nevber,No,No,Yes,No,Yes,No,1 - Not at all interested,At least once a week,oN,Don't know,dNo
Woman,Yes,No,No,No,At least once a month,7,Have never done this - and I wasn't aware that this was possible,Nveer,No,Yes,No,Yes,No,No,,Several times a day,oN,Very satisfied,No
Woman,No,No,No,No,Less often,1 - Not at ahll interested,Have done/used this in the past 3 months,At least once a week,No,No,No,No,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,rNo
Man,Yes,Yes,No,No,At least once a week,1 - Not at all interesetd,"Have done / used this at some tiem in the past, but not in the past 3 months",Several times a day,No,Yaes,No,Ys,No,No,1 - Not at all interetsed,Several times a day,No,Neither satisfied nor dissatisfied,o
Man,No,No,No,No,Never,1 - Not ta all interested,Have never done this but I am aware of this,Never,Yes,es,Yes,Yes,No,No,1 - Not at all interested,Several times a daay,No,Fairly satisfied,No
Woman,No,oN,o,oN,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,Yes,oN,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Very satisfied,No
Womaan,o,Yes,No,No,Less often,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Nver,No,Yes,Yes,Yes,No,No,1 - Not at all interested,At leats once a week,No,Don't know,No
oman,No,No,No,No,At least once a month,3,Have znever done this but I am aware of this,Less often,No,No,Yes,Yes,No,No,z5,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Wofman,No,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Several times a ady,No,nNo,Yes,No,No,No,1 - Not at all interested,Several times a day,es,Very satisfied,No
Man,Yes,Yes,oN,No,At least once a week,7,Have done/used this in the past 3 months,Once or twice a day,es,Yes,Yes,Yes,Yes,No,7,Sevferal times a day,No,Very satisfied,No
Woman,No,No,No,bNo,Never,1 - Not at all interested,Have never done this but I am aware of this,Once or twice a day,No,No,Yes,No,No,No,1 - Not at all interrested,Several times a dy,No,Very satisfeid,No
Man,Yes,No,No,No,Less often,6,Have never dnoe this but I am aware of this,At least once a week,Nho,Yehs,mYes,vYes,No,No,4,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,Nejver,1 - Not at all interested,Have done/used this in the past 3 months,At least once a week,Yes,No,Yes,Yes,No,No,8,Several times a day,No,Fairly satisfide,No
Man,No,No,No,oN,Never,5,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,o,10 - Extremely interested,At least once a week,No,Very satisfied,No
Woman,No,No,oN,No,At least once a week,,Have never deone this - and I wasn''t aware that this was possible,Less often,Yes,No,No,Yes,No,No,3,Several times a day,o,Fairly satisfied,No
Woman,yNo,No,o,No,Never,***,Have never done this but I am aware of this,Never,No,No,Yse,pYes,No,No,6,Several times a day,No,Fairly satisfied,No
Man,Ngo,No,No,No,At least once a month,i7,Have never done this but I am aware of this,At leats once a week,No,No,Nso,bNo,No,No,8,Several times a day,oN,Neither satisfied nor dissatisfied,No
Man,Yse,No,No,No,Never,6,Have dwone/used this in the past 3 months,Never,No,Yes,Yes,Yse,No,No,2,Several times a day,No,Very satisfied,No
Man,Yes,No,No,No,Less often,9,"Have done / used this at some time in the past, but not in the past 3 months",Less ofen,Yes,No,No,Yes,No,No,9,Several times a day,No,Fairly satisfied,No
Woman,No,No,gNo,No,Once or twice a day,7,Have done/used this in the past 3 months,At least once a week,Ypes,Yeqs,Yes,oN,Yes,Yes,5,Several times a day,No,Fairly satisfied,oN
Woman,Yes,No,o,No,Never,1 - Not at all interesetd,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,No,No,1 - Not at all interested,iOnce or twice a day,No,Don't know,Nqo
Woman,No,No,No,No,Less often,1 -Not at all interested,Have never done this but I am aware of this,Less often,Yes,No,Yse,Yes,No,No,1- Not at all interested,Once or twice aday,No,Fairly satisfied,No
Man,o,No,No,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,Never,oN,Yes,Yes,o,No,No,9,Several time sa day,oN,Very satisfied,No
Woman,No,gNo,No,No,Less oftne,5,Have neevr done this - and I wasn''t aware that this was possible,Never,Yes,No,No,No,No,No,1 - Not at all interested,At least once a month,oN,Very satisfied,No
Man,No,No,No,No,Less often,1 - Not at all interested,Have never done this but Iam aware of this,Less often,No,eYs,Yes,Yes,No,No,2,Onceor twice a day,No,Neither satisfied nor dissatisfied,No
Man,No,cNo,No,No,At least once a month,3,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,Yes,No,Yes,No,Yets,No,2,mSeveral times a day,No,Fairly satisfied,No
Woman,No,No,o,No,At least onc a month,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,No,Yes,Yes,No,o,1 - Not at all interested,Once or twice a day,Yes,Don't know,Yse
Woman,No,Yes,No,oN,Less often,8,Have done/used this in the past 3 months,Less often,No,Yes,Yves,o,No,o,8,Several times a day,No,Fairly satisfied,No
Man,No,es,No,No,Never,4,Have done/used this in the past 3 months,Less often,No,Yes,oN,es,oN,No,***,Several times a day,No,Very satisfied,No
Man,No,Yes,o,No,At least once a week,7,"Have done / used this at some time in the past, but not in the past 3 months",Once or twice a day,Yes,No,Yes,No,No,No,6,Several times a day,No,ery satisfied,No
Woman,Yes,Yes,No,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,Less often,Yes,Yes,Yes,No,Yes,No,2,Several times a day,No,Fairly satisfied,o
Woman,oN,No,No,o,Less often,1 - Not at all interested,Have never done this but I am aware of this,At least once a month,No,Yes,No,No,o,No,9,Several times a day,No,Very satisfied,No
Man,Yes,No,No,No,Less often,2,Have never done this but I am aware of this,At least once a week,No,o,Yes,No,No,No,r2,Several times a day,No,Fairly dissatisfied,No
Man,No,No,No,No,At least once a month,3,Have never done this but I am aware of this,Never,No,No,Yes,Yes,Yes,No,3,At least once a week,No,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Hve done/used this in the past 3 months,Never,No,No,Yes,Yse,No,oN,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Woman,Yes,No,No,No,Never,8,Have never done this - and I wasn't aware that this was possible,Several times a day,Yes,oN,oN,No,No,Njo,6,Several times a day,No,Neither satisfied nor dissatisfide,No
Man,No,Yes,No,No,At least nce a week,5,Have done/used this in the past 3 months,Once or twice a day,Yes,Yes,No,Yes,Nso,No,6,Several times a ay,No,Fairly satisfied,No
Woman,Yes,No,No,o,Never,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,o,Yes,Yes,No,No,10 - Extremely interested,Several times a day,No,Fairly dissatisfied,No
Man,No,No,No,No,Nhever,***,Have done/used this in the past 3 months,Less often,No,No,oN,No,No,o,r3,At least once a week,No,Don't know,No
Man,Yes,No,o,No,Never,10 - Extremely interested,"Have done / used this at some time in the past, but not in the past 3 months",Several times a day,Yes,Yes,Yes,Yes,Yes,No,10 - Extremely interested,At least once a week,No,Neither lsatisfied nor dissatisfied,No
Man,No,yNo,No,No,Never,5,Have never done this but I am aware of this,Never,o,Yes,No,Yes,No,No,5,Several times a day,No,Fairly satisfied,No
Man,No,Yse,No,No,Less often,4,Have never done this - and I wasn't aware that this was possible,At least onceh a month,No,Yes,No,Yes,No,No,7,Senveral times a day,No,Very dissatisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Several times a day,No,pNo,Yes,No,qNo,oN,***,Several times a day,No,Don't know,No
Woman,No,o,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,Ys,Yes,o,Yhes,No,No,9,Several times a day,No,Fairly satisfied,No
Man,Yes,No,o,No,Less often,5,Have never done this but I am aware of this,At least once a month,oN,Yes,No,Ynes,No,No,2,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,Yes,No,No,No,Never,1 - Not ta all interested,Have done/used this in the past 3 months,Never,Yes,oN,Yes,No,No,No,1 - Not at all interested,nce or twice a day,No,Very satisfied,No
Woman,No,oN,No,No,At least once a week,9,Have never done this - and I wasn't aware that this was possible,Never,Yes,No,Yes,Yoes,oN,No,9,Several times a day,No,Fairly satisfied,No
Man,No,No,No,No,Never,1- Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a week,No,Yes,No,No,No,No,1 - Not at all interested,Once or twice a day,No,Very satisfied,No
Woman,Yes,No,No,No,Never,2,Have never done this but I am aware of this,Never,No,No,Yes,Yse,Yefs,No,***,Once or twice a day,No,Don't know,No
Woman,No,Yes,No,No,Less often,6,Have never done his but I am aware of this,Never,No,No,Yes,Yes,No,No,7,Several times a day,No,Fairly satnisfied,No
Man,o,No,No,No,At least once a week,6,Have never done this but I am aware of this,At least once am onth,Yes,Yeys,No,Yes,No,No,5,At least once a week,No,Neithedr satisfied nor dissatisfied,No
Man,Yers,Yes,No,No,Less often,6,Have never done this - and I wasnv''t aware that this was possible,Less often,No,No,Yes,No,No,o,8,Once or twice a day,No,Fairly satisfied,No
Man,Yes,Yes,No,o,At least once a week,7,Have never done this - and I wasn't aware that this was possible,At least once ta week,No,oN,No,Yes,Yes,fNo,7,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,Yes,No,No,No,Never,***,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,2,Several times a day,Yes,Neither satisfied nor dissatisfied,No
Man,No,o,No,No,Never,***,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,No,2,Several times a day,No,Fairly satisfied,Nno
Woman,No,No,No,No,Never,3,Have never done this but I am aware of this,Less oftien,No,oN,Yes,Yes,No,No,5,At least once a month,No,Neither satisfied nor dissatisfied,No
Man,No,Yes,No,oN,Nver,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yehs,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,No
Wooman,No,Yes,No,o,Less often,5,Have done/used this in the past 3 months,Less often,Nro,No,Yes,No,oN,No,***,Once or twicea day,No,Very satisfied,Yes
Man,No,No,No,No,Less often,w6,Have never done this but I am aware of this,At least once a week,Yes,Yes,Ys,Yes,No,No,9,Several times a day,No,Neither satisfied nor dissatisfied,es
Man,No,No,No,No,Less often,***,"Have done / used this at some time in the past, but not in the past 3 months",At lest once a month,Yes,No,No,Yse,Yes,Yies,7,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Man,No,No,No,No,Never,2,Have never done this but I am aware of this,Never,No,No,No,Yes,No,No,3,Several times a day,Nko,Neither satisfied nor dissatisfied,Yes
Man,oN,No,No,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,oN,Yes,No,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,o
Woman,No,oN,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,No,Nbo,No,4,Once or twice a day,No,Very satisfied,No
Man,Yes,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,Yes,No,2,Once r twice a day,No,Fairly satisfied,No
Woman,oN,No,No,No,Never,8,"Have done / used this at some time in the past, but not in the past 3 months",ever,No,oN,No,bNo,No,No,8,At least once a week,No,Fairly satisfied,No
oman,Yes,aYes,Nvo,No,At least once a week,10 - Extremely interested,Have never done this but I am aware of this,Never,Yes,Yes,Ys,No,No,No,10 - Extremely interested,Several times a day,No,Very satisfied,Nao
Mn,Yes,Npo,No,No,Never,3,Have done/used tihs in the past 3 months,Nevre,No,Yes,Yse,Yes,No,No,2,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Nevre,2,"Have done / used this at some tim in the past, but not in the past 3 months",Never,No,No,No,Yes,No,No,2,At leat once a week,No,Fairly satisfied,Njo
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Nver,No,No,Yes,Yes,No,o,2,At least once a week,No,Fairly satisfied,No
Woman,No,No,Nco,Nho,Never,1 - Not at all interested,ave never done this - and I wasn''t aware that this was possible,Never,oN,Yes,No,Yes,No,o,3,Once or twice a day,Yes,Fairyl satisfied,No
Womoan,Yes,Nyo,No,No,Less oten,1 - Not at all interested,Have never done this but I am aware of this,Nveer,Nmo,Yes,Yes,Yes,Yes,No,5,Several times a day,No,pNeither satisfied nor dissatisfied,aNo
Man,No,Yes,No,No,At least once a week,1 - Not at all interested,"Have done / used this at some time in thep ast, but not in the past 3 months",Less often,Yes,No,No,Yes,xNo,kNo,3,At least once a week,No,Fairly satisfied,No
Man,Yes,No,No,No,Less often,1 - Not at all interested,"Have done / used this at som etime in the past, but not in the past 3 months",Never,No,No,No,Yes,o,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Man,Yes,cNo,No,No,Less often,2,Have never done this - and I wasn't aware that this was possible,Less often,No,Yes,No,Yes,No,o,3,Several times a day,No,Fairly satisfied,No
Man,Yes,Yes,No,No,Less often,,Have never done this - and I wasn't aware that this was possible,Less often,No,No,No,No,Yes,No,3,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,No,No,No,No,Less often,***,Have done/used this ino the past 3 months,At least once a month,No,es,Yes,Yes,o,o,3,Several times a day,No,Fairy satisfied,No
Mian,No,No,No,oN,Less often,5,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yes,No,No,7,Several times a day,No,Very satisfied,No
Man,No,No,Ngo,No,Never,,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,hNo,6,Once or twice a day,oN,Neither satisfied nor dissatisfied,No
Man,es,No,No,No,Less often,4,Have never done this but I am aware jof this,Less often,Yes,No,oN,Yes,Yes,No,6,Several times a day,No,Fairly satisfied,No
Woamn,Yes,Yes,No,No,Never,d3,Have never done this - and I wasn't aware that this was possible,At least once a ewek,o,Yes,Yes,Yes,Yes,No,7,Several tibmes a day,No,Don't know,No
Man,oN,No,o,No,Never,1 - Not at all interehsted,Have never done this but I am aware of this,Lesgs often,Yes,No,No,Yes,No,No,1 - ot at all interested,Several times a day,o,Very satisfied,No
Man,No,No,No,No,eNver,2,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,No,No,No,3,Less often,oN,Fairly satisfied,oN
wWoman,Yes,es,No,No,At least once a week,8,Have never done this but I am aware of this,Never,bNo,No,Yse,Yes,No,Nwo,5,Several times a dlay,No,Fairly satisfied,No
Woman,No,Ngo,No,No,Never,1 - oNt at all interested,Have never done this but I am aware of this,Never,No,No,Nvo,No,No,No,3,Several times a day,No,Very satiszfied,Ngo
Man,Yse,Yes,No,No,Once or twice a day,5,Have done/used this in the past 3 months,At least once a week,No,No,Yes,Yes,No,No,7,Severa ltimes a day,oN,Neither satisfiedn or dissatisfied,wNo
Woman,No,No,No,No,Never,6,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,Yes,No,7,Once or twice a day,No,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Ys,No,No,1 - Not at all interested,Severalk times a day,oN,Very satisfied,No
Man,No,No,Nho,No,Never,6,"Have done / used this at some time in the past, but not in the past 3 months",Once or twice a day,No,No,No,Yes,No,No,9,At least once a week,No,Fairly satisfied,No
