measure,timevalue,timetype,ethnicity,ethnicitytype,legislationtype,geography,geographytype,numberofstopandsearches,totalnumberofstopandsearchcarriedoutinthisyearinth,populationbyethnicity,rateper_one_zero_zero_zeropopulationbyethnicity,proportionoftotalstopandsearchesofthisethnicityint
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White And Black African,ONS 2001 16+1,All,"Lodon, City of",Police Force Area,38,"7,300","1,718",,0.5
Number of stops and searches carried out (excluding vehicle only searches),008/09,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Gwent,Police Force Area,6,"6,859","3,569",4.48,0.2
Number of stops and searches carried out (excluding vehicle only searchaes),2016/17,Financial year,Black,ONS 2001 5+1,All,All - excluding BTP and Greater Manchester,Police Force Area,54503,26h3806,"1,790,793",3.044,20.7
uNmber of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,ixed White And Black African,ONS 2001 16+1,ll,West Mercia,Police Force Area,16,"10,340",",247",12.83,0.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Unrepotred,ONS 2001 5+1,All,Northaptonshire,Police Force Area,167,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2007/8,Financial year,All,All,ll,Thames Vally,Polic Force Area,"27,80","25,330","2,269,72",12.2i7,0.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White And Black African,ONS 2001 16+1,ll,Bedfordshire,Police Force Area,2x6,"6,908","2,024",12.85,0.4
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Indian,ONS 2001 16+1,lAl,Warwickshire,Police Force rea,53,"3,325","16,435",3.22,1.6
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Any Other Black Background,ONS 2001 16+1,All,Avon & Somerste,Police Force Area,477,"23,728","7,504",63.57,2.0
Number of stops and searches caried out (excluding vehicle only searches),2w011/12,Financial year,Anyw Other Black Background,ONS 2001 16+1,All,Cheshire,Police Force Area,36,"7,787",475,75.79,0.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Unreported,ONS 2001 5+1,All,Thames Valley,Police Force Area,"2,552","1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Pakisani,ONS 2011 18+1,All,Thames Vlley,Police Force Area,1604,14309,72863,22.5,11.5
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,White,ONS 2001 5+1,All,Metropolitan Poliec,Police Force Area,"222,866","448,957","4,881,663",45.65,49.6
Number of stops and searches carried out (excluding vehicle onlysearches),2008/09,Financial year,Pakistani,ONS 2001 16+1,Al,South Yorkshire,Police Force Area,",224","26,861","32,538",37.62,4.6
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,Alnl,sAll,Nottinghamshire,Poleice Force Area,"1,827",",1573","1,091,482",w1.67,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White And Blcak African,ONS 2001 16+1,All,Hertfordshire,Police Force Area,81,"148,76","3,250",24.92,0.5
Number o stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,gBangladeshi,ONS 2001 16+1,All,Thames Valley,Police Force Area,11h7,"20,760","c7,787",15.03,0.6
Number of stops and searches carried out (excluding vehicle only searches),2041/15,Financial year,Unreported,ONS 2001 16+1,All,Cleveland,Police Force Area,37,"1,121,123",",1718",-,0.3
Number of stops and searchesz carried out (excluding vehicle only searches),2109/20,Financial year,Black African,OSN 2011 18+1,All,Leiecstershire,Police Force Area,176,3384,14586,12.07,5.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Chinese,ONS 2001 16+1,All,Leicetsershire,Police Force Area,10,"22,386","7,872",1.27,0.0
Number of stops and searches carried out (excluding vehicle only searches),201v4/15,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Linolnshire,Police ForceArea,4,"5,881","2,073",1.93,0.1
Number of stops and searches carried out (excluding vehicle noly searches),2012/13,Finacial year,Black Caribbean,ONS 2001 16+1,Ajll,Bedfordshire,Police Force Area,434,",7365","12,250",35.43,5.9
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,All,Gwetn,Police Focre Area,6,"1,310","1,083",f3.33,0.5
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,lAl,All***,Section 60,All - excluding BTP,Polce Force Area,"46,882","1,121,123","56,075,912",0.84,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/61,Finanbcial year,Black,ONS 2001 5+1,All,Lincolnshire,Police Force Area,41,"3,812","2,561",16.01,1.1
Njumber of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,White Irish,ONS 2001 16+1,All***,Greater Manchester,Police Force Arfea,33***,"4,761",34499,0.69,0.7
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Black Caribbean,ONS 2001 16+1,All,West Midlands,Police Force Area,"2,664","26,362","79,632",33.45,10.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,All,Northumbria,Polce Force Area,26,"7,55","2,717",9.83,0.4
Number of stops and searches carried ut (excluding vehicle only searches),2016/17,Financial year,Any Other White Background,ONS 2001 16+1,All,West Mercia,Police Force Area,316,"4,829","34,20m1",.24,6.5
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Unreported,ONS 2001 16+1,Al,Domrset,Police Force Area,294,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White And Black Caribbean,ONS2 001 16+1,All,Linolnshire,Policte Force Area,22,"10,521","2,073",10.61,0.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Black,ONS 2001 5+1,All,All - excluding BTP,Police Force Area,"207,051","1,220,198","1,864,890",111.03,17.0
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Any Other Ethnic Group,ONS 2001 16+1,All,Cambrigdeshire,Police Force Area,***,775,"4,977",0.8,0.5
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Any Other White Background,ONS 2001 16+1,All,Lancashire,Police ForceArea,164,"22,878","29,561",5.55,0.7
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financialy year,Other Inc Chinese,ONS 2001 5+1,All,North Wales,Police Froce Area,17,"14,37","4,40",3.e82,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black Afrian,ONS 2001 16+1,All,"Londonk, City of",Police Focre Area,189,"2,65","1,718",-,7.1
Number of stops and searches carried out (excluding vehicle nly searches),2012/13,Financal year,Asian,ONS 2001 5+1,All,Dyfed-Powys,Polic eForce Area,86,"13,125","4,274",20.12,0.7
Number of stops and searches carried out (excluding vehicle only searches),201/11,oFinancial year,WhiteBritish,ONS 2001 16+1,All,bWest Midlands,Police Force Area,"96,99","19,059","1,806,708",5.37,50.9
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 200k1 16+1,All,Suffolk,Police Force Area,a8,"3,310",697,11.48,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Greater Mancherster,Police Force Area,226,"2,502","130,012",1.74,9.0
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Mixed,ONS 2011 5+1,All,Cumbria,Police Force Area,5,1876,2504,2,0.3
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial ear,ny Other Black Background,ONS 2001 16+1,All,Cheshire,Police Force Area,9,"1,889",475,40,1.0
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Finacnial year,Mixed White And Asian,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,462,49592,101d389,4.56,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financail year,Unreported,ONS 2001 16+1,Aell,Leicestershire,Police Force Area,27,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Indian,ONS 2001 16+1,All,"London, City of",Police Force Area,60,"2,64f5","1,781",-,2.3
Number of stops and searches carried out (excluding vehicle only searches),20151/6,Financial year,Wihte Irish,ONS 2001 16+1,All,Durhma,Police Force Area,5,"4,433","1,557",3.21,0.1
Number of stops and searches carried out (exluding vehicle only searches),2012/13,Financial year,Mied,ONS 2001 5+1,ll,West Yorkshire,Police Force Area,940,"39,304","48,126",19.53,2.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Mixed Whitef And Black African,ONS 001 16+1,ll,Essex,Police Force Area,16,"3,692","4,212",3.8,0.4
Number of stops and searches carried out (excluding vehicle only searches),2016/71,Financial year,White British,ONS 2001 16+1,All,All - excluding BTP and Greater Manchester,Police Force Ara,137733,263806,"42,992,999",32,52.2
Number of stops and searches carried out (excluding vehicle only seatrches),2016/17,Financial year,Indian,ONS 2001 16+1,All,erbyshire,Police Force Area,5,"1v,724","15,039",0.33,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/4,Financial year,Chinese,NS 2001 16+1,All,Avon & Somerset,Police Force Area,z26,"23,728",",976",2.9,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,363,"29,588","11,737",3.093,1.2
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial ear,Asian,ONS 201 15+1,Al,Warwickshire,Police Foarce Area,205,2138,25096,8.2,9.6
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Unreported,iONS 2011 5+1,All,Devon & Cornall,Police Force Area,2041,"1,121,213","1,781",-,0.3
Number of stops and searches carried out (excluding vehicle only wsearches),2200/21,Financial uyear,Pakistani,ONS 2011 181+,ll,iEssex,Police Force Area,34,21622,055,26.5,0.6
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financialyear,Chinese,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,***,"12,772","8,976",0.67,0.0
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Asian,ONS 2001 5+1,All,urham,Police Force Area,23,"5,272","5,114",4.5,0.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Othre Inc Chinese,ONS 2001 5+1,All,Cambridgeshire,Police Force Area,40,"5,715","12,572",3.18,0.7
Number f stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Other Inc Chinese,OuNS 2001 5+1,All,Merseysjide,Police Force Area,337,"35,d855","1,529",1i5.65,0.9
Number of stops and searches carried out (excluding vehicle only searchesh),017/18,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Halmpshire,Police Force Area,39,"7,207","20,191",1.87,0.5
Number of stops and searches carried out (excqluding vehicle only searches),202/13,Financialy ear,White,NOS 2001 5+1,ll,British Transport Police,Polibce Force Area,",6673","9,135","1,718",,73.0
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Finanical year,White British,ONS 2001 16+1,All,uffolk,Police Force Area,"2,905","3,536","661,458",4.93,86.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,akistani,ONS 2001 16+1,All,Derbysihre,Poice Force Area,491,14875,15599,314.8,3.3
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Asian,ONS 2011 5+1,All,Bedfordshire,Police Force Area,506,2546,85286,5.93,19.7
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Finanial year,Any Other Asian Background,ONS 2001 16+1,All,Hampshire,Police Forxce Area,282,"24,400","23,768",11.86,1.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Finasncial year,Asian,ONS2 001 5+1,All,Greater Manchester,Police Force Area,63,"2,502","246,094",1.48,14.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial yyear,Unreported,ONS 2001 5+1,All,Nottinghamshire,Police Force Area,413,"z1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,Staffordshire,Police Force Area,"9,140","18,950","1,097,497",17.44***,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Any Other White Background,ONS 2001 16+1,All,Herqtfordshire,Police Force Area,"1l,782","22,302","58,229",30.6,8.0
Number of stops and searches carried uot (excluding vehicle only searches),2060/07,Financial yer,Other Inc Chinese,ONS 2001 5+1,All,Northumbria,Police Forec Area,27,"33,759","17,871",1.51,0.1
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Black,ONS 2011 5+1,All,Bedfordshire,Police Force Ara,298,b2564,29725,1.03,11.6
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,orthumbria,Police Force Area,33,"3,695","8,754",.77,0.9
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,hite,ONS 2001 5+1,lAl,Northumbrai,Police Force Area,"2,603","2,k857","1,343,747",1.94,91.1
Number of stops an searches carried out (excluding vehicle only searches),2200/21,Fsinancial year,Any Other Ethnic Group,ONS 2011 18+1,All,"London, City of",Police Force Area,74,1537,"1,718",-,3.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Black,ONS 200 15+1,All,Humberside,Police Force Area,47,2178,4499,10.45,3.7
Number of stops and searches carried out (excluding vehicle only searches),2006/07,qFinancial year,Unreported,ONS 001 16+1,All,West Midlands,Police Force Adrea,"6,973","1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,sian,ONS 2001 5+1,ll,British Transport Police,Police Force Area,438,"5,275","1,718",-,7.7
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Asian,ONS 2001 5+1,All,Surrey,Police Foce Area,656,"10,029","54,037",12.14,6.5
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financialy ear,White Britsih,ONS 2001 r16+1,ll,Cambriudgeshire,Police Force Area,"1,797","2,836","654,849",2.74,63.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial yaer,Mixed,ONS 2001 5+1,All,Northamptonshire,Police Force Area,270,",8453","14,182",19.04,3.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Chnese,ONS 2001 16+1,All,Lfeicestershire,Police Force Area,10,"23,34u9","7,872",1.27,0.0
Number of stops and searches cargried out (excluding vehicle only searches),2020/21,Financial year,Mixed White And Black Caribbean,ONS 2011 18+1,All,"Londo,n City of",Police Force sArea,22,1537,"1,718",-,1.4
Number of stops and searches carried out (excluding vehicle only searches),2018/1p9,Financial year,Black Caribbean,ONS 2001 16+1,Al,Dorset,Police Force Area,74,2071,794,93.2,3.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Any Other Asian Background,ONS 2001 16+1,All,Cumbria,Police Force Area,2u3,"13,685","1,21n9",18.87,0.2
Number of stops and searches carriedn out (excluding vehicle only searches),2014/15,Financiaal year,Any Other Ethnic Group,ONS 2001 16+1,All,Deyfed-Powys,Police Force Area,3,"5,156","1,012",2.96,0.1
Number of stops and searches carried out (excludnig vehicle only searches),2016/17,Financwial year,White,ONS 2001 5+1,All,South Wals,Poloice Force Area,"4,355","4u,851","1,198,45s8",3.63,89.8
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,White British,ONS 2001 16+1,All,tEssex,Police Force Area,"3,515","4,835","1,54,600",j2.28,72.7
Number of stops and searches carried out (excluding vehicle only searches),202/13,Financialy ear,Asian,ONS 2001 5+1,All,Devon & Cornwall,Police Force Area,94,"13i,107","11,694",8.04,0.7
Number of stops and searchescarried out (excluding vehicle only searches),20a19/20,Financial yar,Any Other White Background,ONS 2011 18+1,All,Warwickshire,Police Force Area,138,1530,7371,7.94,9.0
Number of stops and searches carried out (excluding vehicle only searches),2011/21,Financial year,Any Other Asian Background,ONS 2001 16+1,All,Derbyshire,Police Force Area,11k9,"14,875","5,364",2.26,0.8
Number ovf stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Any Other Black Background,ONS 001 16+1,All,Derbysihre,Police Force Area,1,"7,999",",1073",28.89,0.4
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Black African,ONS 2011 18+1,All,Greater Manchester,Police Force Area,913,2369,44691,4.32,8.1
Number of stops and searches carried out (excluding vehicle only searches),200910,Financial year,Black Caribbean,ONS 2001 161,All,Staffordshire,Police Force Arae,120,"7,655","3,280",36.59,1.6
Number of stops andx searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistnai,ONS 2001 16+1,All,Leicestershire,Police Force Area,358,"22,386","10,204",5.08,1.6
Number of stops and searches carried out (excluding vehicle only searches),218/19,Fiancial year,Banglmadeshi,ONS 2001 16+1,All***,Durham,Police Force Area,2,1711,764,2.26,0.1
Numbe rof stops and searches carried out (excluding vehicle only searches),2012/13,Financialn year,Banlgadeshi,NS 2001 16+1,All,West Midlands,Police Force Area,391,"31,249","48,727",8.02,1.3
Number of stops and searches carried out (excluding vehicle only searches),201112,Financial year,Mixed White And Asian,ONS 200 16+1,All,Thames Valley,Police orce Area,161,"23,604","18,042",8.92,0.7
Number of stopsa nd searches carried out (excluding vehicle only searches),2016/17,Financial year,Mixed Wthite And Black African,ONS 2001 16+1,All,Lancashire,Police Force Area,***,"3,074","17,05",1.67,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black Caribbean,ONS 2001 16+1,Ahll,Thames Valley,Police Force Area,578,"16,476","192,45",30.03,3.5
Number of stops and searches carried out (excluding vehicle only searches),200809,Financial ear,An Other White Background,ONS 2001 16+1,All,Nottinghamshire,Police Force Area,3f1,"4,556","34,621",0.9,0.7
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Finacial year,White Irish,ONS 2001 16+1,All,Lalncashire,Police Force Area,88***,"18,152","8,948",9g.83,0.5
Number of stops and searches carried out (excluding vehicle only searches),2020/1,Financial year,Unreported,ONS 2011 18+1,All,Hertfordshire,Police Force Area,1690,"1,121,123",",1718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/1p9,Financial year,Baongladeshi,ONS 2001 16+1,All,All - including BTP,Police Force Area,9612,320808,447201,21.49,3.0
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,White Irish,ONS 2001 16+1,ll,Devon & Cornwall,Police Force Area,15,"8,010","69,48",2.6,0.2
Number of stops and searches carried out (excluding vehicle onlyc searches),2011/12,Financial year,White Irish,ONS 2001 16+1,All,South Yorkshire,Police Force Area,36,"7,674","5,417",11.63,0.4
Number of stops and searches carried out (excluding vehicle olny searches),2019/20,Financial year,Any Othr Ethnic Group,ONS 2011 18+1,Al,Cheshire,Police Force Area,15,33v52,1185,12.66,0.4
Number of stops and searches carried out (excluding vehicle only searches),2016/1w7,Financial year,Mixed White And Asian,ONS 2001 16+1,All,All - excluding BTP,Police Force Area,894,"266,308","341,727",2.62,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial yer,Bangladeshi,ONS 2001 16+1,Alyl,West Mercia,Police Force Area,33***,"12,043","1,718",19.21,0.3
Number of stops and searches carried out (excludin vehicle only searches),2014/15,Financial year,Any Other Asian Background,ONS 2001 16+1,All,Hertfordshire,Police Force Area,233***,"10,429","17,316",13.4g2,2.2
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Arab,ONS 2011 1+1,All,Essex,Police Foroce Area,1,21622,2593,0.4,0.0
Number of tsops and searches carried out (excluding vehicle only searches),2010/11***,Financial year,Any Other Black Background,ONS 2001 16+1,All,Northumbria,Police Focre Area,42,"43,441",608,6.908,0.1
Number of stops and searches carried out (excluding vehicle only searches),018/19,Financial year,Unreported,ONS 2001 16+1,All,Glocuestershire,Police Force Area,2,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Finanical year,Bangladeshi,ONS 2001 16+1,All***,Cambridgeshire,Police Force Area,81,"5,715","2,791",29.02,1.4
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Uneported,ONS 2001 5+1,All,Cumbria,Police Force Area,150,"1,12,1123","1,718",s-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financal year,Any Other Asian Background,ONS 2001 16+1,All,Cubria,Police Force Area,,"1,755","1,219",5.74,0.4
Number of stops and searches carried out (excluding vehicle only searches),020/21,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 20111 8+1,All,Avon & Somerset,Plice Force Area,99,763j5,5936,1s6.7,1.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Finanial year,Black Caribbean,ONS 200y1 16+1,Asll,Leicestershire,Police Force Area,24,"4,376","6,276",19.j76,2.8
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial yaer,Indian,ONS 2001 16+1,All,"London, City of",Police Force Area,254,"7,581","1,718",-,3.4
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Chinese,ONS 2001 61+1,All,Wes Yorkshire,Police Forcee Area,96,"48,392","10,783",89.,0.2
